Series Name,Series Code,Country Name,Country Code,2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Eswatini,SWZ,8.42,129.3,7.68,7.22,6.82
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Ethiopia,ETH,8.76,..,..,12.31,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Faroe Islands,FRO,..,..,..,..,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Fiji,FJI,27.33,60.01,36.56,17.99,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Finland,FIN,2.62,2.72,2.18,2.84,1.87
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,France,FRA,2.62,2.72,2.18,2.84,1.87
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,French Polynesia,PYF,4.16,4.67,4.59,4.59,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Gabon,GAB,..,15.48,..,..,19.28
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,"Gambia, The",GMB,19.62,..,18.9,18.5,19.79
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Georgia,GEO,..,..,2.81,3.36,3.68
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Germany,DEU,2.62,2.72,2.18,2.84,1.87
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Ghana,GHA,15.95,15.52,13.77,13.77,16.41
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Gibraltar,GIB,..,..,..,..,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Greece,GRC,2.62,2.72,2.18,2.84,1.87
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Greenland,GRL,..,..,..,..,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Grenada,GRD,..,16.34,..,..,14
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Guam,GUM,..,..,..,..,..
